cp_category,cp_model,group_key,art_print,pp,product_id,rank,image_url
Силиконовые чехлы,Honor 90 Lite,A:506340,W506340,ПП2,1186716644,5,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063401.webp
Матовые цветные чехлы для печати,Honor 90 Lite,A:506349,W506349,ПП2,1152460988,42,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506349.webp
Силиконовые чехлы,Honor 90 Lite,A:506350,W506350,ПП2,1186666458,59,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063501.webp
Силиконовые чехлы,Honor 90 Lite,A:506373,W506373,ПП2,1186501482,8,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506373.webp
Силиконовые чехлы,Honor 90 Lite,A:506380,W506380,ПП2,1186553353,62,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506380.webp
Силиконовые чехлы,Honor Magic 6 Pro,A:501980,Q501980,ПП2,1196378228,3,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019801.webp
Матовые цветные чехлы для печати,Honor Magic 6 Pro,A:502050,W502050,ПП2,1140026796,106,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Y502050.webp
Матовые цветные чехлы для печати,Honor Magic 6 Pro,A:506331,W5063311,ПП2,1153708945,11,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063311.webp
Силиконовые чехлы,Honor Magic 6 Pro,A:506332,W506332,ПП2,1137041328,4,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063321.webp
Матовые цветные чехлы для печати,Honor Magic 6 Pro,A:506337,W5063371,ПП2,1196198021,21,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063371.webp
Силиконовые чехлы,Honor Magic 6 Pro,A:506346,W506346,ПП2,1137160975,125,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506346.webp
